name,description,time_creation,followers,ranking
Books_10,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,10/30/2012,847014,210
Industrial_13,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,12/9/2005,175595,167
Computers_8,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,5/21/2020,470593,268
Music_6,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,10/14/2007,829480,288
Shoes_10,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,12/10/2021,241210,157
Beauty_9,aliquet at feugiat non pretium quis lectus suspendisse potenti in,1/23/2016,147483,51
Beauty_10,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,1/20/2021,470004,169
Grocery_9,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,6/3/2008,770057,236
Grocery_10,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,11/7/2017,387487,248
Grocery_11,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,8/11/2001,990326,155
Shoes_11,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,7/4/2006,851334,188
Sports_9,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,4/16/2012,250330,271
Books_11,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,7/21/2004,462151,105
Shoes_12,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,2/28/2005,189452,75
Books_12,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,12/2/2017,59868,149
Electronics_13,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,2/22/2004,326837,33
Kids_8,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,12/7/2020,679896,197
Computers_9,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,2/10/2016,783534,273
Toys_12,a feugiat et eros vestibulum ac est lacinia nisi venenatis,1/9/2002,54137,38
Beauty_11,purus eu magna vulputate luctus cum sociis natoque penatibus et,7/8/2006,861683,249
Automotive_15,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,11/17/2005,640520,88
Books_13,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,12/23/2019,549091,39
Kids_9,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,2/20/2017,120490,295
Health_9,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,3/8/2002,316818,176
Automotive_16,non quam nec dui luctus rutrum nulla tellus in sagittis,11/16/2001,370585,192
Automotive_17,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,10/26/2009,354934,136
Music_7,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,1/30/2017,867742,285
Games_9,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,3/18/2018,243688,129
Home_9,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,11/25/2013,605599,53
Toys_13,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,6/9/2015,930640,122
Tools_11,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,4/29/2024,431038,209
Grocery_12,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,3/22/2015,34732,230
Books_14,lorem quisque ut erat curabitur gravida nisi at nibh in hac,6/27/2019,940006,3
Automotive_18,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,10/12/2019,432894,39
Books_15,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,10/15/2012,351578,267
Home_10,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,1/30/2016,527978,135
Movies_16,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,12/21/2000,645183,22
Electronics_14,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,6/6/2001,983243,218
Toys_14,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,12/5/2014,528396,294
Outdoors_8,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,4/7/2018,745466,202
Clothing_11,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,6/2/2015,173234,6
Games_10,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,4/10/2004,76079,30
Grocery_13,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,3/2/2004,642276,184
Health_10,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,5/23/2002,306926,296
Home_11,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,9/6/2000,169413,139
Books_16,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,8/10/2002,396830,242
Games_11,venenatis tristique fusce congue diam id ornare imperdiet sapien urna,5/2/2002,720580,55
Books_17,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,9/22/2006,200272,186
Garden_16,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,8/31/2000,448719,275
Shoes_13,nunc commodo placerat praesent blandit nam nulla integer pede justo,11/23/2014,686945,109
Toys_15,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,12/25/2014,843542,37
Automotive_19,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,5/23/2022,336991,70
Electronics_15,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,4/9/2022,303030,205
Kids_10,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,10/29/2016,588930,74
Games_12,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,7/12/2005,568383,251
Grocery_14,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,7/7/2012,813954,139
Clothing_12,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,7/19/2004,144333,293
Books_18,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,7/14/2019,795430,151
Clothing_13,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,2/5/2017,837420,95
Computers_10,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,2/25/2016,732575,102
Shoes_14,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,10/14/2023,136152,243
Jewelry_14,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,6/20/2021,287560,122
Beauty_12,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,9/30/2005,274684,210
Health_11,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,3/1/2017,707825,262
Outdoors_9,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,3/10/2008,538616,13
Grocery_15,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,3/28/2006,83395,82
Baby_8,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,8/13/2005,920578,275
Automotive_20,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,12/21/2004,967451,259
Automotive_21,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,8/27/2012,693807,175
Automotive_22,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,10/8/2015,939720,253
Games_13,aenean sit amet justo morbi ut odio cras mi pede malesuada,10/10/2015,918182,82
Shoes_15,in hac habitasse platea dictumst maecenas ut massa quis augue,5/25/2000,801608,31
Clothing_14,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,10/6/2015,974297,113
Grocery_16,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,6/28/2021,870000,20
Tools_12,tristique in tempus sit amet sem fusce consequat nulla nisl nunc,9/22/2001,680855,286
Home_12,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,5/30/2001,875970,175
Garden_17,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,4/24/2019,779435,186
Books_19,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,9/19/2010,686501,44
Sports_10,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,2/21/2014,619636,163
Sports_11,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,12/4/2020,476736,125
Jewelry_15,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,2/5/2020,972515,14
Books_20,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,12/19/2000,378929,272
Outdoors_10,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,7/19/2003,750081,53
Health_12,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,1/4/2019,255525,89
Computers_11,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,5/28/2009,366161,66
Movies_17,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut,8/5/2009,311520,137
Kids_11,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,1/16/2024,798633,200
Games_14,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,10/17/2005,843653,144
Toys_16,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,2/8/2003,976439,43
Jewelry_16,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,12/5/2023,560796,35
Jewelry_17,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,9/24/2019,781568,75
Grocery_17,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,10/21/2019,446635,64
Outdoors_11,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,3/16/2020,481003,172
Jewelry_18,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,1/12/2003,219271,265
Clothing_15,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,7/18/2012,729551,90
Automotive_23,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,7/30/2002,357500,280
Tools_13,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,12/19/2007,466565,271
Toys_17,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,7/12/2007,691996,186
Electronics_16,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,11/8/2010,922628,166
Shoes_16,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,6/28/2009,597508,263
Electronics_17,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,3/20/2015,869716,81
Movies_18,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,7/25/2017,224723,226
Grocery_18,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,8/15/2023,789586,170
Computers_12,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,9/23/2018,125047,9
Outdoors_12,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,9/30/2004,544984,132
Shoes_17,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,8/5/2018,347368,180
Beauty_13,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,7/19/2022,194542,48
Garden_18,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,5/14/2007,596125,276
Clothing_16,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,10/27/2013,633497,71
Tools_14,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,10/27/2014,247766,39
Sports_12,erat quisque erat eros viverra eget congue eget semper rutrum,12/28/2004,309030,59
Toys_18,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,4/7/2006,681428,30
Automotive_24,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2/26/2009,972369,168
Shoes_18,fusce congue diam id ornare imperdiet sapien urna pretium nisl,8/8/2001,535684,191
Games_15,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,6/26/2019,118777,60
Beauty_14,a suscipit nulla elit ac nulla sed vel enim sit amet nunc,5/19/2002,293006,29
Health_13,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,10/23/2004,99407,99
